"COMB. 1",2,3,4,6,7,9,10,11,13,15,17,18,19,20,22
"COMB. 2",2,4,6,7,9,10,11,13,14,15,17,19,20,22,24
"COMB. 3",2,4,6,7,9,10,11,13,14,15,17,18,19,22,24
"COMB. 4",2,3,6,7,9,10,11,13,14,17,18,19,20,22,25
"COMB. 5",2,3,4,7,9,10,11,13,15,17,18,19,20,24,25
"COMB. 6",2,3,4,7,9,10,13,14,17,18,19,20,22,24,25
"COMB. 7",2,3,6,7,9,10,11,13,14,15,17,18,19,24,25
"COMB. 8",2,4,6,7,10,11,13,14,15,18,19,20,22,24,25
"COMB. 9",2,4,7,9,10,11,13,14,15,18,19,20,22,24,25
"COMB. 10",2,3,6,9,10,11,13,14,17,18,19,20,22,24,25
"COMB. 11",2,4,6,7,9,10,11,14,15,17,18,19,20,22,25
"COMB. 12",2,3,4,6,7,9,10,13,14,15,17,19,20,24,25
"COMB. 13",2,3,4,6,7,9,11,13,15,17,18,19,20,24,25
"COMB. 14",2,3,4,6,7,9,10,15,17,18,19,20,22,24,25
"COMB. 15",2,3,4,6,7,9,10,11,13,14,15,18,19,24,25
"COMB. 16",2,3,4,6,7,9,10,11,13,15,17,18,20,22,25
"COMB. 17",2,3,4,6,9,10,13,14,15,17,18,19,20,22,25
"COMB. 18",2,3,4,7,9,10,11,13,14,15,17,19,20,22,25
"COMB. 19",2,3,4,6,7,10,11,13,14,17,18,19,20,22,25
"COMB. 20",2,3,4,6,7,10,13,14,15,17,18,19,20,24,25
"COMB. 21",3,4,6,7,9,10,11,13,14,15,18,19,20,22,24
"COMB. 22",3,4,7,9,10,11,14,15,17,18,19,20,22,24,25
"COMB. 23",3,4,6,7,9,10,11,14,15,17,18,19,20,22,25
"COMB. 24",4,6,7,9,10,11,13,14,15,17,18,19,20,22,24
