COMB-1,1,2,3,4,7,8,9,10,13,14,15,17,18,19,23
COMB-2,1,2,4,5,8,9,10,11,13,14,15,19,22,23,24
COMB-3,1,2,3,4,7,10,11,14,15,17,18,19,21,22,24
COMB-4,1,3,4,5,7,10,11,13,14,17,18,19,21,23,24
COMB-5,1,2,3,4,5,7,8,10,11,13,14,15,19,22,24
COMB-6,1,2,5,8,9,10,11,14,15,18,19,21,23,24,25
COMB-7,1,2,4,8,9,10,11,13,14,15,18,21,22,23,25
COMB-8,1,2,5,7,8,10,11,14,17,18,19,21,23,24,25
COMB-9,1,3,4,7,8,9,10,13,14,15,17,18,21,22,25
COMB-10,1,4,5,7,8,9,10,11,14,17,21,22,23,24,25
COMB-11,1,2,3,4,7,8,9,10,11,13,17,19,23,24,25
COMB-12,1,2,3,4,5,8,10,11,14,15,18,21,22,24,25
COMB-13,1,2,3,4,7,9,10,11,13,17,18,22,23,24,25
COMB-14,1,2,3,4,5,7,8,10,11,13,14,15,17,22,25
COMB-15,1,2,3,4,5,7,9,10,14,15,18,19,21,24,25
COMB-16,1,2,4,5,9,10,13,15,18,19,21,22,23,24,25
COMB-17,1,2,4,5,7,10,11,14,15,17,21,22,23,24,25
COMB-18,1,2,3,7,8,9,10,13,14,15,18,19,22,23,25
COMB-19,2,3,4,5,7,9,10,11,14,15,17,19,21,22,23
COMB-20,2,3,5,7,10,14,15,17,18,19,21,22,23,24,25
COMB-21,2,4,5,7,8,13,14,15,17,18,19,21,22,24,25
COMB-22,2,3,4,5,7,9,10,11,13,18,19,21,23,24,25
COMB-23,2,3,5,7,8,9,10,11,13,14,18,21,22,23,25
COMB-24,2,3,4,7,8,9,10,13,15,17,18,19,21,22,25
COMB-25,4,5,7,8,10,11,13,14,15,17,18,21,23,24,25
